doc_file	start_line	end_line	target_file	actual_region_name	notes
skills/plugin-kit/api-cheatsheet.md	197	207	website/snippets/lib/capabilities.dart	(orphan)	Doc block shows ConfigurableCapability marker + hasType usage; closest match is register-service-capabilities-metadata or resolve-raw-capabilities-inspection, but neither covers the marker-only pattern — no exact match.
skills/plugin-kit/api-cheatsheet.md	263	273	website/snippets/lib/event_bus.dart	(orphan)	Doc block shows onRequest null-concede plus request/maybeRequest/requestSync/maybeRequestSync variants; event_bus.dart has async-request-handler-and-request but it does not cover null concede or sync APIs.
skills/plugin-kit/patterns.md	197	208	website/snippets/lib/naming.dart	namespace-serviceid-and-typed-pin	Namespace child call and typed pin runtime settings.
skills/plugin-kit/patterns.md	216	233	website/snippets/lib/event_bus.dart	(orphan)	Doc block is a draft-event mutation pipeline; event_bus.dart has no draft-event region. Closest is event-bus-subscribe-emit-request-bind but that does not show mutation of a draft payload.
skills/plugin-kit/patterns.md	243	253	website/snippets/lib/service_registry.dart	resolve-after-registry-thunk-fallback	resolveAfter fallback via deferred registry thunk.
website/src/content/docs/concepts/capabilities.mdx	42	56	website/snippets/lib/capabilities.dart	define-custom-capabilities	Custom capability subclass examples; plan name define-custom-capabilities matches actual region exactly.
website/src/content/docs/concepts/capabilities.mdx	100	109	website/snippets/lib/capabilities.dart	inspect-capabilities-hastype-getoftype	Inspect capabilities with hasType and getOfType.
website/src/content/docs/concepts/configuration.mdx	40	45	website/snippets/lib/plugin_services.dart	anthropic-service-config-getters	PluginService config getters for api key and temperature.
website/src/content/docs/concepts/configuration.mdx	77	85	website/snippets/lib/plugin_services.dart	model-config-typed-getters	Typed config accessors including list and bool values.
website/src/content/docs/concepts/event-bus.mdx	19	32	website/snippets/lib/event_bus.dart	(orphan)	Doc block shows on+emit with UserLoggedInEvent; event_bus.dart has no on-and-emit-basic-event region. The event-bus-subscribe-emit-request-bind region is the closest but covers a richer example with stop/bind/onRequest — not a basic on+emit.
website/src/content/docs/concepts/event-bus.mdx	51	61	website/snippets/lib/event_bus.dart	priority-stop-cascade-example	Priority ordering with stop to short circuit cascade.
website/src/content/docs/concepts/event-bus.mdx	89	99	website/snippets/lib/event_bus.dart	async-request-handler-and-request	Async request handler and request call example.
website/src/content/docs/concepts/event-bus.mdx	123	139	website/snippets/lib/event_bus.dart	identifier-scoped-handlers-example	Identifier scoped handlers and emit identifier usage.
website/src/content/docs/concepts/event-bus.mdx	169	181	website/snippets/lib/event_bus.dart	emit-result-stopped-and-mutated	Read stopped flag and mutated payload from emit result.
website/src/content/docs/concepts/events.mdx	40	46	website/snippets/lib/event_bus.dart	immutable-event-payload-definition	Immutable event payload class shape.
website/src/content/docs/concepts/events.mdx	107	113	website/snippets/lib/plugin_lifecycle.dart	attach-and-register-event-handler	Attach method registering typed event handler.
website/src/content/docs/concepts/plugin-services.mdx	30	35	website/snippets/lib/plugin_services.dart	model-router-service-config	ModelRouter service reads default model and temperature.
website/src/content/docs/concepts/runtime.mdx	48	57	website/snippets/lib/runtime_settings.dart	runtime-init-with-default-enabled-plugins	runtime.init with default enabled plugin ids.
website/src/content/docs/concepts/runtime.mdx	67	77	website/snippets/lib/runtime_settings.dart	update-settings-disable-plugin	Disable plugin via settings copyWith then updateSettings.
website/src/content/docs/concepts/service-registry.mdx	34	52	website/snippets/lib/service_registry.dart	register-factory-lazy-singleton-singleton	Register factory lazy singleton and singleton entries.
website/src/content/docs/concepts/service-registry.mdx	113	126	website/snippets/lib/service_registry.dart	resolve-after-current-plugin-fallback	Resolve formatter fallback after current plugin.
website/src/content/docs/concepts/service-registry.mdx	164	169	website/snippets/lib/plugin_services.dart	anthropic-service-config-getters	PluginService getter pattern; plan name anthropic-service-config-getters-reference maps to the same actual region as row 26.
website/src/content/docs/concepts/service-registry.mdx	204	214	website/snippets/lib/capabilities.dart	register-service-capabilities-metadata	Register service with capability metadata set.
website/src/content/docs/examples/model-embassy.mdx	72	82	website/snippets/lib/sessions.dart	pin-service-settings-for-session-credentials	Pin and wildcard settings for per session credentials.
website/src/content/docs/guides/adding-a-plugin.mdx	67	73	website/snippets/lib/plugin_services.dart	(orphan)	Doc block shows a plain NotificationService class (no PluginService base); plugin_services.dart has no plain-service baseline region — only the post-migration NotificationService with config getters.
website/src/content/docs/guides/adding-a-plugin.mdx	262	271	website/snippets/lib/plugin_services.dart	notification-service-with-config	NotificationService with channel and prefix config.
website/src/content/docs/guides/adding-a-plugin.mdx	311	325	website/snippets/lib/plugin_services.dart	chat-backend-service-requires-api-key	Service throws when required API key is missing.
website/src/content/docs/guides/adding-a-plugin.mdx	378	396	website/snippets/lib/capabilities.dart	register-service-capabilities-metadata	Define capabilities and register with lazy singleton. Plan name define-and-register-capabilities; actual region register-service-capabilities-metadata covers the same content.
website/src/content/docs/guides/adding-a-plugin.mdx	400	407	website/snippets/lib/capabilities.dart	resolve-capability-from-service-id	Resolve capability directly from service id.
website/src/content/docs/guides/flutter-integration.mdx	217	232	website/snippets/lib/sessions.dart	update-session-settings-toggle-plugin	Update per session settings to toggle plugin enabled.
website/src/content/docs/guides/flutter-integration.mdx	280	292	website/snippets/lib/testing.dart	(orphan)	testing.dart has no docregion markers; Codex left it as a stub library.
website/src/content/docs/guides/flutter-plugin-kit.mdx	84	91	website/snippets/lib/flutter_integration.dart	watch-event-builder-guide	Builder watchEvent example in flutter guide.
website/src/content/docs/guides/logging.mdx	27	33	website/snippets/lib/logging.dart	(orphan)	Doc block shows a Logger.onRecord listener; logging.dart has no onrecord-listener region. The catch-lifecycle-exception-on-runtime-init region is the closest but covers a try/catch pattern, not a listener setup.
website/src/content/docs/guides/logging.mdx	58	67	website/snippets/lib/logging.dart	catch-lifecycle-exception-on-runtime-init	Catch PluginLifecycleException during runtime.init.
website/src/content/docs/guides/migrating-flutter-app.mdx	255	266	website/snippets/lib/event_bus.dart	file-save-requested-and-saved-events	Intent and fact event classes for save workflow.
website/src/content/docs/guides/migrating-flutter-app.mdx	344	369	website/snippets/lib/state_bridges.dart	riverpod-runtime-and-session-providers	Riverpod providers for runtime creation and session scope.
website/src/content/docs/guides/migrating-flutter-app.mdx	373	397	example/state_garden/lib/src/integrations/riverpod_chat.dart	(orphan)	Row targets an existing file in state_garden that is not a snippets file; no docregion markers expected here per the plan's own note that this is an existing file.
website/src/content/docs/guides/migrating-flutter-app.mdx	526	547	website/snippets/lib/sessions.dart	emit-streaming-message-events-from-session	Emit chunk and completed events from session stream.
website/src/content/docs/guides/plugin-kit-dialog.mdx	24	40	website/snippets/lib/dialog.dart	(orphan)	dialog.dart only has plugin-kit-visual-model-reference; show-dialog-save-merge-settings-guide region was not written by Codex.
website/src/content/docs/guides/plugin-kit-dialog.mdx	163	171	website/snippets/lib/config_fields.dart	extension-field-color-picker-guide	Guide variant of ExtensionConfigField color picker.
website/src/content/docs/guides/plugin-kit-dialog.mdx	253	270	website/snippets/lib/dialog.dart	(orphan)	dialog.dart only has plugin-kit-visual-model-reference; dialog-api-surface-theme-and-visuals region was not written by Codex.
website/src/content/docs/guides/plugin-kit-dialog.mdx	274	285	website/snippets/lib/config_fields.dart	(orphan)	config_fields.dart has no config-field-reference region; only extension-field-color-picker and extension-field-color-picker-guide exist.
website/src/content/docs/guides/testing.mdx	20	27	website/snippets/lib/testing.dart	(orphan)	testing.dart has no docregion markers; Codex left it as a stub library.
website/src/content/docs/guides/testing.mdx	58	78	website/snippets/lib/testing.dart	(orphan)	testing.dart has no docregion markers; Codex left it as a stub library.
website/src/content/docs/guides/testing.mdx	154	170	website/snippets/lib/testing.dart	(orphan)	testing.dart has no docregion markers; Codex left it as a stub library.
website/src/content/docs/guides/testing.mdx	178	205	website/snippets/lib/testing.dart	(orphan)	testing.dart has no docregion markers; Codex left it as a stub library.
website/src/content/docs/guides/testing.mdx	228	240	website/snippets/lib/testing.dart	(orphan)	testing.dart has no docregion markers; Codex left it as a stub library.
website/src/content/docs/reference/dialog-api.mdx	446	460	website/snippets/lib/dialog.dart	plugin-kit-visual-model-reference	PluginKitVisual reference model fields.
website/src/content/docs/reference/event-bus-and-events.mdx	14	21	website/snippets/lib/event_bus.dart	(orphan)	Doc block shows EventBus class surface (isDisposed, dispose); event_bus.dart has no event-bus-core-class-surface region — no region covers the class declaration itself.
website/src/content/docs/reference/event-bus-and-events.mdx	31	40	website/snippets/lib/event_bus.dart	(orphan)	Doc block shows EventEnvelope class surface (event, identifier, stopped, stop); event_bus.dart has no envelope-surface region — no region covers the class declaration itself.
website/src/content/docs/reference/event-bus-and-events.mdx	83	89	website/snippets/lib/event_bus.dart	bind-observer-and-unbind	bind observer callback and unbind lifecycle.
website/src/content/docs/reference/naming-conventions.mdx	155	165	website/snippets/lib/naming.dart	fact-event-class-naming	Fact event naming examples.
website/src/content/docs/reference/naming-conventions.mdx	173	182	website/snippets/lib/naming.dart	request-event-class-naming	Request event naming examples.
website/src/content/docs/reference/naming-conventions.mdx	190	197	website/snippets/lib/naming.dart	draft-event-class-naming	Draft event naming with mutable fields.
website/src/content/docs/reference/naming-conventions.mdx	224	234	website/snippets/lib/naming.dart	capability-class-naming	Capability naming examples with suffix capability.
website/src/content/docs/reference/naming-conventions.mdx	265	272	website/snippets/lib/naming.dart	plugin-id-naming-in-runtime-settings	Plugin id naming conventions in settings map.
website/src/content/docs/reference/naming-conventions.mdx	285	303	website/snippets/lib/naming.dart	plugin-scoped-pin-and-wildcard-naming	Plugin scoped pin and wildcard naming forms.
website/src/content/docs/reference/naming-conventions.mdx	311	319	website/snippets/lib/naming.dart	config-key-dotpath-convention	Dot path config key naming convention example.
website/src/content/docs/reference/plugins-and-lifecycle.mdx	62	67	website/snippets/lib/plugin_services.dart	(orphan)	Doc block shows minimal StatefulPluginService contract (attach/detach only); plugin_services.dart has stateful-plugin-service-base-contract which includes the full contract (activeSubscriptions, hasContext, context) — not minimal.
website/src/content/docs/reference/plugins-and-lifecycle.mdx	81	91	website/snippets/lib/plugin_lifecycle.dart	global-vs-session-plugin-contract	GlobalPlugin and SessionPlugin attach detach contracts.
website/src/content/docs/reference/plugins-and-lifecycle.mdx	126	145	website/snippets/lib/custom_context.dart	(orphan)	custom_context.dart has no docregion markers; Codex left it as a stub library.
website/src/content/docs/reference/plugins-and-lifecycle.mdx	157	163	website/snippets/lib/custom_context.dart	(orphan)	custom_context.dart has no docregion markers; Codex left it as a stub library.
website/src/content/docs/reference/plugins-and-lifecycle.mdx	189	206	website/snippets/lib/sessions.dart	(orphan)	Doc block shows PluginSession class surface (registry, bus, context, plugins, settings, isPluginEnabled, dispose, extensions); sessions.dart has no session-core-api-surface region — no region covers the class declaration.
website/src/content/docs/reference/plugins-and-lifecycle.mdx	347	355	website/snippets/lib/logging.dart	catch-lifecycle-exception-on-dispose	Handle PluginLifecycleException while disposing runtime.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	26	32	website/snippets/lib/naming.dart	(orphan)	Doc block shows Namespace extension type surface; naming.dart has no namespace-extension-type-surface region — no region covers the Namespace declaration itself.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	38	44	website/snippets/lib/naming.dart	(orphan)	Doc block shows ServiceId extension type surface; naming.dart has no serviceid-extension-type-surface region — no region covers the ServiceId declaration itself.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	83	92	website/snippets/lib/service_registry.dart	(orphan)	Doc block shows ServiceRegistry constructor surface; service_registry.dart has no service-registry-constructor-surface region — no region covers the class declaration itself.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	215	231	website/snippets/lib/service_registry.dart	(orphan)	Doc block shows ScopedServiceRegistry fields/constructor surface; service_registry.dart has no scoped-service-registry-structure region — no region covers the class declaration itself.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	262	280	website/snippets/lib/service_registry.dart	scoped-register-lifetimes-example	Scoped registry register singleton lazy and factory.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	305	312	website/snippets/lib/service_registry.dart	with-priority-batch-register-example	withPriority chain registration example.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	356	368	website/snippets/lib/plugin_services.dart	(orphan)	Doc block shows PluginService base contract (pluginId, serviceId, settings, settingsHash, config, injectSettings); plugin_services.dart has no plugin-service-base-contract region — no region covers the abstract class declaration itself.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	380	385	website/snippets/lib/plugin_services.dart	anthropic-service-config-getters	Anthropic PluginService config getter example; same content as anthropic-service-config-getters.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	402	414	website/snippets/lib/plugin_services.dart	stateful-plugin-service-base-contract	StatefulPluginService context and subscription contract.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	454	461	website/snippets/lib/plugin_services.dart	(orphan)	Doc block shows a minimal StatefulPluginService with on<UserMessage> in attach; plugin_services.dart has no stateful-service-on-helper region — the ChatServiceHarness example is not marked with a region.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	477	488	website/snippets/lib/capabilities.dart	supportslanguages-and-canbeslow-capabilities	Capability classes for languages and performance hints.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	502	507	website/snippets/lib/capabilities.dart	(orphan)	Doc block shows capability lookup extension surface methods (resolveCapability, hasCapability); capabilities.dart has no capability-lookup-extension-surface region.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	511	518	website/snippets/lib/capabilities.dart	resolve-raw-capabilities-inspection	Resolve raw wrapper and inspect slow capability reason.
website/src/content/docs/reference/settings-and-configuration.mdx	43	55	website/snippets/lib/runtime_settings.dart	(orphan)	Doc block shows RuntimeSettings class structure (plugins, services, empty constructor); runtime_settings.dart has no runtime-settings-class-structure region — no region covers the class declaration itself.
website/src/content/docs/reference/settings-and-configuration.mdx	128	147	website/snippets/lib/runtime_settings.dart	pin-plugin-scoped-and-wildcard-forms	Pin plugin scoped and wildcard forms in settings.
website/src/content/docs/reference/settings-and-configuration.mdx	176	186	website/snippets/lib/runtime_settings.dart	(orphan)	Doc block shows PluginConfig class structure (enabled, config fields); runtime_settings.dart has no plugin-config-class-structure region — no region covers the PluginConfig declaration.
website/src/content/docs/reference/state-management-bridges.mdx	52	65	website/snippets/lib/state_bridges.dart	(orphan)	Doc block shows shared chat protocol types (ChatMessage, ChatSession, etc.); state_bridges.dart has no shared-chat-protocol-types region — only riverpod-runtime-and-session-providers exists.
website/src/content/docs/troubleshooting.mdx	91	99	website/snippets/lib/logging.dart	troubleshooting-log-lifecycle-failures	Troubleshooting lifecycle failure logging pattern.
