doc_file	start_line	end_line	loc	target_file	region_name	notes
website/src/content/docs/concepts/service-registry.mdx	34	52	17	website/snippets/lib/service_registry.dart	register-factory-lazy-singleton-singleton	Register factory lazy singleton and singleton entries.
website/src/content/docs/concepts/service-registry.mdx	113	126	12	website/snippets/lib/service_registry.dart	resolve-after-current-plugin-fallback	Resolve formatter fallback after current plugin.
website/src/content/docs/concepts/service-registry.mdx	164	169	4	website/snippets/lib/plugin_services.dart	anthropic-service-config-getters-reference	PluginService getter pattern in service registry concept.
website/src/content/docs/concepts/service-registry.mdx	204	214	9	website/snippets/lib/capabilities.dart	register-service-capabilities-metadata	Register service with capability metadata set.
website/src/content/docs/examples/model-embassy.mdx	72	82	9	website/snippets/lib/sessions.dart	pin-service-settings-for-session-credentials	Pin and wildcard settings for per session credentials.
website/src/content/docs/guides/adding-a-plugin.mdx	67	73	5	website/snippets/lib/plugin_services.dart	plain-notification-service-baseline	Baseline plain service before PluginService migration.
website/src/content/docs/guides/adding-a-plugin.mdx	262	271	8	website/snippets/lib/plugin_services.dart	notification-service-with-config	NotificationService with channel and prefix config.
website/src/content/docs/guides/adding-a-plugin.mdx	311	325	13	website/snippets/lib/plugin_services.dart	chat-backend-service-requires-api-key	Service throws when required API key is missing.
website/src/content/docs/guides/adding-a-plugin.mdx	378	396	17	website/snippets/lib/capabilities.dart	define-and-register-capabilities	Define capabilities and register with lazy singleton.
website/src/content/docs/guides/adding-a-plugin.mdx	400	407	6	website/snippets/lib/capabilities.dart	resolve-capability-from-service-id	Resolve capability directly from service id.
website/src/content/docs/guides/flutter-integration.mdx	217	232	14	website/snippets/lib/sessions.dart	update-session-settings-toggle-plugin	Update per session settings to toggle plugin enabled.
website/src/content/docs/guides/flutter-integration.mdx	280	292	11	website/snippets/lib/testing.dart	flutter-widget-test-editor-shell-panel	Widget test verifies panel registration rendering.
website/src/content/docs/guides/flutter-plugin-kit.mdx	84	91	6	website/snippets/lib/flutter_integration.dart	watch-event-builder-guide	Builder watchEvent example in flutter guide.
website/src/content/docs/guides/logging.mdx	27	33	5	website/snippets/lib/logging.dart	logging-onrecord-listener-setup	Listen to Logger plugin_kit records for diagnostics.
website/src/content/docs/guides/logging.mdx	58	67	8	website/snippets/lib/logging.dart	catch-lifecycle-exception-on-runtime-init	Catch PluginLifecycleException during runtime.init.
website/src/content/docs/guides/migrating-flutter-app.mdx	255	266	10	website/snippets/lib/event_bus.dart	file-save-requested-and-saved-events	Intent and fact event classes for save workflow.
website/src/content/docs/guides/migrating-flutter-app.mdx	344	369	24	website/snippets/lib/state_bridges.dart	riverpod-runtime-and-session-providers	Riverpod providers for runtime creation and session scope.
website/src/content/docs/guides/migrating-flutter-app.mdx	373	397	23	example/state_garden/lib/src/integrations/riverpod_chat.dart	riverpod-async-notifier-session-bridge	(existing) AsyncNotifier session bridge already in state_garden.
website/src/content/docs/guides/migrating-flutter-app.mdx	526	547	20	website/snippets/lib/sessions.dart	emit-streaming-message-events-from-session	Emit chunk and completed events from session stream.
website/src/content/docs/guides/plugin-kit-dialog.mdx	24	40	15	website/snippets/lib/dialog.dart	show-dialog-save-merge-settings-guide	showPluginKitDialog flow as used in guide page.
website/src/content/docs/guides/plugin-kit-dialog.mdx	163	171	7	website/snippets/lib/config_fields.dart	extension-field-color-picker-guide	Guide variant of ExtensionConfigField color picker.
website/src/content/docs/guides/plugin-kit-dialog.mdx	253	270	16	website/snippets/lib/dialog.dart	dialog-api-surface-theme-and-visuals	Dialog API surface covering visuals and theme.
website/src/content/docs/guides/plugin-kit-dialog.mdx	274	285	10	website/snippets/lib/config_fields.dart	config-field-reference-and-handle-guide	ConfigField type and handle reference list variant.
website/src/content/docs/guides/testing.mdx	20	27	6	website/snippets/lib/testing.dart	plugin-service-inject-settings-test	Unit test injectSettings updates config backed getter.
website/src/content/docs/guides/testing.mdx	58	78	19	website/snippets/lib/testing.dart	plugin-request-response-test	Integration style request response plugin test.
website/src/content/docs/guides/testing.mdx	154	170	15	website/snippets/lib/testing.dart	runtime-update-settings-disables-plugin-test	Runtime settings update disables plugin in session.
website/src/content/docs/guides/testing.mdx	178	205	26	website/snippets/lib/testing.dart	stateful-service-attach-detach-test	Stateful service detaches and stops receiving events.
website/src/content/docs/guides/testing.mdx	228	240	11	website/snippets/lib/testing.dart	lifecycle-exception-test	Test PluginLifecycleException failure surface.
website/src/content/docs/reference/dialog-api.mdx	446	460	13	website/snippets/lib/dialog.dart	plugin-kit-visual-model-reference	PluginKitVisual reference model fields.
website/src/content/docs/reference/event-bus-and-events.mdx	14	21	6	website/snippets/lib/event_bus.dart	event-bus-core-class-surface	EventBus minimal class surface in reference docs.
website/src/content/docs/reference/event-bus-and-events.mdx	31	40	8	website/snippets/lib/event_bus.dart	event-envelope-mutable-stop-surface	EventEnvelope mutable event and stop contract.
website/src/content/docs/reference/event-bus-and-events.mdx	83	89	5	website/snippets/lib/event_bus.dart	bind-observer-and-unbind	bind observer callback and unbind lifecycle.
website/src/content/docs/reference/naming-conventions.mdx	155	165	9	website/snippets/lib/naming.dart	fact-event-class-naming	Fact event naming examples.
website/src/content/docs/reference/naming-conventions.mdx	173	182	8	website/snippets/lib/naming.dart	request-event-class-naming	Request event naming examples.
website/src/content/docs/reference/naming-conventions.mdx	190	197	6	website/snippets/lib/naming.dart	draft-event-class-naming	Draft event naming with mutable fields.
website/src/content/docs/reference/naming-conventions.mdx	224	234	9	website/snippets/lib/naming.dart	capability-class-naming	Capability naming examples with suffix capability.
website/src/content/docs/reference/naming-conventions.mdx	265	272	6	website/snippets/lib/naming.dart	plugin-id-naming-in-runtime-settings	Plugin id naming conventions in settings map.
website/src/content/docs/reference/naming-conventions.mdx	285	303	17	website/snippets/lib/naming.dart	plugin-scoped-pin-and-wildcard-naming	Plugin scoped pin and wildcard naming forms.
website/src/content/docs/reference/naming-conventions.mdx	311	319	7	website/snippets/lib/naming.dart	config-key-dotpath-convention	Dot path config key naming convention example.
website/src/content/docs/reference/plugins-and-lifecycle.mdx	62	67	4	website/snippets/lib/plugin_services.dart	stateful-plugin-service-minimal-contract	Minimal StatefulPluginService contract snippet.
website/src/content/docs/reference/plugins-and-lifecycle.mdx	81	91	9	website/snippets/lib/plugin_lifecycle.dart	global-vs-session-plugin-contract	GlobalPlugin and SessionPlugin attach detach contracts.
website/src/content/docs/reference/plugins-and-lifecycle.mdx	126	145	18	website/snippets/lib/custom_context.dart	plugin-context-core-api-surface	PluginContext resolve request copyWith and stub APIs.
website/src/content/docs/reference/plugins-and-lifecycle.mdx	157	163	5	website/snippets/lib/custom_context.dart	global-plugin-context-sessions-api	GlobalPluginContext sessions and sessionOf API.
website/src/content/docs/reference/plugins-and-lifecycle.mdx	189	206	16	website/snippets/lib/sessions.dart	plugin-session-core-api-surface	PluginSession core surface and helper extension APIs.
website/src/content/docs/reference/plugins-and-lifecycle.mdx	347	355	7	website/snippets/lib/logging.dart	catch-lifecycle-exception-on-dispose	Handle PluginLifecycleException while disposing runtime.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	26	32	5	website/snippets/lib/naming.dart	namespace-extension-type-surface	Namespace extension type API surface.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	38	44	5	website/snippets/lib/naming.dart	serviceid-extension-type-surface	ServiceId extension type namespace and id helpers.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	83	92	8	website/snippets/lib/service_registry.dart	service-registry-constructor-surface	ServiceRegistry constructor and defaults surface.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	215	231	15	website/snippets/lib/service_registry.dart	scoped-service-registry-structure	ScopedServiceRegistry fields constructor and withPriority.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	262	280	17	website/snippets/lib/service_registry.dart	scoped-register-lifetimes-example	Scoped registry register singleton lazy and factory.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	305	312	6	website/snippets/lib/service_registry.dart	with-priority-batch-register-example	withPriority chain registration example.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	356	368	11	website/snippets/lib/plugin_services.dart	plugin-service-base-contract	PluginService fields and injectSettings contract.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	380	385	4	website/snippets/lib/plugin_services.dart	anthropic-plugin-service-config-example	Anthropic PluginService config getter example.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	402	414	11	website/snippets/lib/plugin_services.dart	stateful-plugin-service-base-contract	StatefulPluginService context and subscription contract.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	454	461	6	website/snippets/lib/plugin_services.dart	stateful-service-on-helper-example	Stateful service on helper inside attach.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	477	488	10	website/snippets/lib/capabilities.dart	supportslanguages-and-canbeslow-capabilities	Capability classes for languages and performance hints.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	502	507	4	website/snippets/lib/capabilities.dart	capability-lookup-extension-surface	Capability lookup extension surface methods.
website/src/content/docs/reference/service-registry-and-capabilities.mdx	511	518	6	website/snippets/lib/capabilities.dart	resolve-raw-capabilities-inspection	Resolve raw wrapper and inspect slow capability reason.
website/src/content/docs/reference/settings-and-configuration.mdx	43	55	11	website/snippets/lib/runtime_settings.dart	runtime-settings-class-structure	RuntimeSettings class with plugins and services maps.
website/src/content/docs/reference/settings-and-configuration.mdx	128	147	18	website/snippets/lib/runtime_settings.dart	pin-plugin-scoped-and-wildcard-forms	Pin plugin scoped and wildcard forms in settings.
website/src/content/docs/reference/settings-and-configuration.mdx	176	186	9	website/snippets/lib/runtime_settings.dart	plugin-config-class-structure	PluginConfig enabled and config fields.
website/src/content/docs/reference/state-management-bridges.mdx	52	65	12	website/snippets/lib/state_bridges.dart	shared-chat-protocol-types	Shared chat protocol types for state bridge recipes.
website/src/content/docs/troubleshooting.mdx	91	99	7	website/snippets/lib/logging.dart	troubleshooting-log-lifecycle-failures	Troubleshooting lifecycle failure logging pattern.
